,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,1939,111,60,2,252,24
2,Albania,766,16,30,0,455,24
3,Algeria,3848,199,444,7,1702,51
4,American Samoa,0,0,0,0,0,0
5,Andorra,743,0,42,1,423,25
6,Angola,27,0,2,0,7,1
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,24,0,3,0,11,0
10,Argentina,4285,158,214,7,1192,30
11,Armenia,1932,65,30,0,900,34
12,Aruba,0,0,0,0,0,0
13,Australia,6752,8,91,2,5715,50
14,Austria,15402,45,580,11,12779,199
15,Azerbaijan,1766,49,23,1,1267,46
16,Bahamas,80,0,11,0,23,0
17,Bahrain,2921,110,8,0,1455,145
18,Bangladesh,7103,641,163,8,150,11
19,Barbados,80,0,7,1,39,0
20,Belarus,13181,973,84,5,2072,79
21,Belgium,47859,525,7501,170,11283,340
22,Belize,18,0,2,0,9,0
23,Benin,64,0,1,0,33,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,0
26,Bolivia,1110,96,59,6,117,19
27,Bosnia and Herzegovina,1677,92,65,2,710,28
28,Botswana,23,0,1,0,5,5
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,79685,6450,5513,430,34132,1588
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,124,0
34,Bulgaria,1447,48,64,6,243,21
35,Burkina Faso,641,3,43,1,498,22
36,Burundi,11,0,1,0,4,0
37,Cambodia,122,0,0,0,119,0
38,Cameroon,1832,127,61,3,934,19
39,Canada,52865,1715,3154,172,20327,1096
40,Cape Verde,114,0,1,0,2,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,50,0,0,0,10,0
43,Chad,52,0,2,0,19,0
44,Chile,14885,520,216,9,8057,347
45,China,83944,4,4637,0,78474,52
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,6207,258,278,9,1411,143
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),207,0,8,0,19,0
51,Congo (Kinshasa),491,20,30,0,59,3
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,713,8,6,0,323,17
54,Croatia,2062,15,67,4,1288,56
55,Cuba,1467,30,58,0,617,42
56,Cyprus,843,6,15,0,148,0
