,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,367,18,11,4,18,3
2,Albania,377,16,21,1,116,12
3,Algeria,1423,103,173,21,90,0
4,American Samoa,0,0,0,0,0,0
5,Andorra,525,24,21,3,31,5
6,Angola,16,2,2,0,2,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,15,0,0,0,0,0
10,Argentina,1554,103,48,4,325,45
11,Armenia,833,11,8,1,62,5
12,Aruba,0,0,0,0,0,0
13,Australia,5797,110,40,5,1080,323
14,Austria,12297,246,220,16,3463,465
15,Azerbaijan,641,57,7,0,44,12
16,Bahamas,29,1,5,1,4,4
17,Bahrain,756,56,4,0,458,27
18,Bangladesh,123,35,12,3,33,0
19,Barbados,60,4,2,1,6,0
20,Belarus,700,138,13,5,53,1
21,Belgium,20814,1123,1632,185,3986,235
22,Belize,7,2,1,1,0,0
23,Benin,26,4,1,1,5,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,183,26,11,1,2,0
27,Bosnia and Herzegovina,674,20,29,6,47,17
28,Botswana,6,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,12161,1031,564,78,127,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,135,0,1,0,82,9
34,Bulgaria,549,18,22,2,39,2
35,Burkina Faso,364,19,18,1,108,18
36,Burundi,3,0,0,0,0,0
37,Cambodia,114,0,0,0,53,3
38,Cameroon,658,8,9,0,17,0
39,Canada,16563,807,338,80,3256,244
40,Cape Verde,7,0,1,0,1,1
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,8,0,0,0,0,0
43,Chad,9,0,0,0,0,0
44,Chile,4815,344,37,3,728,110
45,China,82665,63,3335,2,77310,103
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,1579,94,46,11,88,0
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),45,0,5,0,2,0
51,Congo (Kinshasa),161,7,18,0,5,2
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,467,13,2,0,18,2
54,Croatia,1222,40,16,1,130,5
55,Cuba,350,30,9,1,18,3
56,Cyprus,465,19,9,0,45,8
57,Czech Republic,4822,235,78,11,121,25
58,Côte d'Ivoire,323,62,3,0,41,4
59,Denmark,4875,314,187,8,1489,60
60,Djibouti,90,31,0,0,9,0
61,Dominica,15,1,0,0,1,1
62,Dominican Republic,1828,83,86,4,33,16
63,Ecuador,3747,101,191,11,100,0
64,Egypt,1322,149,85,7,259,12
65,El Salvador,69,7,4,1,5,3
66,Equatorial Guinea,16,0,0,0,3,2
67,Eritrea,31,2,0,0,0,0
68,Estonia,1108,11,19,4,62,0
69,Ethiopia,44,1,2,0,4,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,14,2,0,0,0,0
73,France,98963,5190,8926,833,17428,1079
74,French Guiana,0,0,0,0,0,0
75,French Polynesia,0,0,0,0,0,0
76,French Southern Territories,0,0,0,0,0,0
77,Gabon,24,3,1,0,1,0
78,Gambia,4,0,1,0,2,0
