,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,906,66,30,0,99,45
2,Albania,539,21,26,0,283,6
3,Algeria,2418,150,364,16,846,63
4,American Samoa,0,0,0,0,0,0
5,Andorra,696,23,35,2,191,22
6,Angola,19,0,2,0,5,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,3,0,3,0
10,Argentina,2669,98,123,8,666,35
11,Armenia,1201,42,19,1,402,44
12,Aruba,0,0,0,0,0,0
13,Australia,6522,60,66,3,3808,1453
14,Austria,14595,119,431,21,9704,718
15,Azerbaijan,1340,57,15,0,528,68
16,Bahamas,54,1,9,1,6,0
17,Bahrain,1740,40,7,0,725,22
18,Bangladesh,1838,266,75,15,58,9
19,Barbados,75,0,5,0,15,0
20,Belarus,4779,575,42,2,342,139
21,Belgium,36138,1329,5163,306,7961,399
22,Belize,18,0,2,0,0,0
23,Benin,35,0,1,0,18,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,465,24,31,2,26,12
27,Bosnia and Herzegovina,1214,47,46,3,320,43
28,Botswana,15,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,33682,3257,2141,217,14026,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,136,0,1,0,112,4
34,Bulgaria,846,46,41,3,141,19
35,Burkina Faso,557,11,35,3,294,37
36,Burundi,5,0,1,0,0,0
37,Cambodia,122,0,0,0,98,0
38,Cameroon,996,0,22,0,164,0
39,Canada,32814,2005,1355,97,10545,847
40,Cape Verde,56,0,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,12,0,0,0,4,0
43,Chad,27,0,0,0,5,0
44,Chile,9252,445,116,11,3621,322
45,Christmas Island,0,0,0,0,0,0
46,Cocos (Keeling) Islands,0,0,0,0,0,0
47,Colombia,3439,206,153,9,634,84
48,Comoros,0,0,0,0,0,0
49,Congo (Brazzaville),143,26,6,1,11,0
50,Congo (Kinshasa),287,20,23,1,25,2
51,Cook Islands,0,0,0,0,0,0
52,Costa Rica,649,7,4,0,88,14
53,Croatia,1814,23,36,1,600,71
54,Cuba,923,61,31,4,192,21
55,Cyprus,750,15,12,0,77,0
56,Czech Republic,6549,116,173,4,1174,202
57,Côte d'Ivoire,688,34,6,0,193,47
58,Denmark,7268,194,336,15,3571,368
59,Djibouti,732,141,2,0,76,3
60,Dominica,16,0,0,0,8,0
61,Dominican Republic,4126,371,200,4,268,53
62,Ecuador,8450,225,421,18,838,0
63,Egypt,2844,171,205,9,646,50
64,El Salvador,177,13,7,1,38,5
65,Equatorial Guinea,79,28,0,0,4,0
66,Eritrea,35,0,0,0,0,0
67,Estonia,1459,25,38,2,145,12
68,Ethiopia,96,4,3,0,15,0
69,Falkland Islands (Malvinas),0,0,0,0,0,0
70,Faroe Islands,0,0,0,0,0,0
71,Fiji,17,0,0,0,0,0
72,Finland,3489,120,82,7,1700,0
73,France,149130,2039,18703,762,35006,1679
74,French Guiana,0,0,0,0,0,0
75,French Polynesia,0,0,0,0,0,0
76,French Southern Territories,0,0,0,0,0,0
77,Gabon,108,28,1,0,7,3
78,Gambia,9,0,1,0,2,0
79,Georgia,370,22,3,0,79,3
