,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,1351,72,43,1,188,9
2,Albania,678,15,27,0,394,9
3,Algeria,3127,120,415,8,1408,53
4,American Samoa,0,0,0,0,0,0
5,Andorra,731,8,40,3,344,11
6,Angola,25,0,2,0,6,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,24,0,3,0,11,1
10,Argentina,3607,172,176,11,976,57
11,Armenia,1596,73,27,3,728,69
12,Aruba,0,0,0,0,0,0
13,Australia,6677,16,79,4,4124,0
14,Austria,15071,69,530,8,11872,178
15,Azerbaijan,1592,44,21,1,1013,65
16,Bahamas,73,1,11,0,15,1
17,Bahrain,2518,301,8,0,1113,31
18,Bangladesh,4689,503,131,4,112,4
19,Barbados,77,1,6,0,31,1
20,Belarus,8773,751,63,3,1120,182
21,Belgium,44293,1496,6679,189,10122,322
22,Belize,18,0,2,0,5,0
23,Benin,54,0,1,0,27,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,3,0
26,Bolivia,807,104,44,1,54,10
27,Bosnia and Herzegovina,1421,8,55,1,538,53
28,Botswana,22,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,54043,4007,3704,373,27655,1082
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,120,1
34,Bulgaria,1234,137,54,2,197,7
35,Burkina Faso,629,13,41,0,425,15
36,Burundi,11,0,1,0,4,0
37,Cambodia,122,0,0,0,117,7
38,Cameroon,1430,96,43,0,668,0
39,Canada,44054,769,2383,144,15149,388
40,Cape Verde,88,6,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,16,0,0,0,10,0
43,Chad,40,7,0,0,8,0
44,Chile,12306,494,174,6,6327,523
45,China,83899,15,4636,0,78109,126
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,4881,320,225,10,1003,76
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),200,14,6,0,19,3
51,Congo (Kinshasa),394,17,25,0,48,1
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,687,1,6,0,216,20
54,Croatia,2009,28,51,1,982,99
55,Cuba,1285,50,49,6,416,51
56,Cyprus,804,9,14,1,98,0
57,Czech Republic,7273,86,214,4,2371,219
58,Côte d'Ivoire,1077,73,14,0,419,60
59,Denmark,8408,137,403,9,5715,142
60,Djibouti,999,13,2,0,330,78
61,Dominica,16,0,0,0,10,1
62,Dominican Republic,5749,206,267,2,763,182
63,Ecuador,22719,11536,576,16,1366,38
64,Egypt,4092,201,294,7,1075,71
65,El Salvador,274,24,8,0,75,8
66,Equatorial Guinea,214,130,1,0,7,0
67,Eritrea,39,0,0,0,11,5
68,Estonia,1605,13,46,1,206,14
69,Ethiopia,117,1,3,0,25,4
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,0,0,0,10,2
73,Finland,4395,111,177,5,2500,500
74,France,159952,492,22279,390,44271,1509
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,172,5,3,1,26,2
79,Gambia,10,0,1,0,2,0
80,Georgia,444,19,5,0,132,21
81,Germany,154999,1870,5760,185,109800,6500
82,Ghana,1279,125,10,1,134,35
83,Gibraltar,0,0,0,0,0,0
84,Greece,2490,27,130,5,577,0
85,Greenland,0,0,0,0,0,0
86,Grenada,15,0,0,0,7,1
87,Guadeloupe,0,0,0,0,0,0
88,Guam,0,0,0,0,0,0
89,Guatemala,430,46,11,0,30,0
90,Guernsey,0,0,0,0,0,0
91,Guinea,954,92,6,0,191,21
92,Guinea-Bissau,52,2,0,0,3,0
93,Guyana,73,3,7,0,12,3
94,Haiti,72,0,5,0,2,0
95,Heard and Mcdonald Islands,0,0,0,0,0,0
96,Holy See (Vatican City State),9,0,0,0,2,0
97,Honduras,591,72,55,8,58,27
98,"Hong Kong, SAR China",0,0,0,0,0,0
99,Hungary,2443,159,262,23,458,68
100,Iceland,1789,0,10,0,1542,33
101,India,24530,1453,780,59,5498,486
102,Indonesia,8211,436,689,42,1002,42
103,"Iran, Islamic Republic of",88194,1168,5574,93,66599,1756
104,Iraq,1708,31,86,3,1204,33
105,Ireland,18184,577,1014,220,9233,0
106,Isle of Man,0,0,0,0,0,0
107,Israel,15058,255,194,2,6003,392
108,Italy,192994,3021,25969,420,60498,2922
109,Jamaica,288,31,7,1,28,0
110,Japan,12829,461,345,17,1530,36
111,Jersey,0,0,0,0,0,0
112,Jordan,441,4,7,0,326,8
113,Kazakhstan,2482,193,25,5,604,44
114,Kenya,336,16,14,0,94,5
115,Kiribati,0,0,0,0,0,0
116,Korea (North),0,0,0,0,0,0
117,Korea (South),10718,10,240,0,8635,134
118,Kuwait,2614,215,15,1,613,115
119,Kyrgyzstan,665,34,8,0,345,43
120,Lao PDR,19,0,0,0,4,0
121,Latvia,784,6,12,1,267,134
122,Lebanon,696,8,22,0,140,0
123,Lesotho,0,0,0,0,0,0
124,Liberia,117,16,8,0,25,5
125,Libya,61,1,2,0,18,3
126,Liechtenstein,81,0,1,0,55,0
127,Lithuania,1410,12,40,0,430,31
128,Luxembourg,3695,30,85,2,3007,2279
129,"Macao, SAR China",0,0,0,0,0,0
130,"Macedonia, Republic of",1326,26,57,1,337,36
131,Madagascar,122,1,0,0,61,3
132,Malawi,33,0,3,0,4,1
133,Malaysia,5691,88,96,1,3663,121
134,Maldives,129,21,0,0,16,0
135,Mali,325,16,21,0,87,10
136,Malta,447,2,3,0,223,19
137,Marshall Islands,0,0,0,0,0,0
138,Martinique,0,0,0,0,0,0
139,Mauritania,7,0,1,0,6,0
140,Mauritius,331,0,9,0,285,19
141,Mayotte,0,0,0,0,0,0
142,Mexico,11633,0,1069,0,2627,0
143,"Micronesia, Federated States of",0,0,0,0,0,0
144,Moldova,3110,184,84,4,755,94
145,Monaco,94,0,4,0,41,6
146,Mongolia,37,1,0,0,9,0
147,Montenegro,319,3,6,1,123,0
148,Montserrat,0,0,0,0,0,0
149,Morocco,3758,190,158,3,486,30
150,Mozambique,65,19,0,0,12,3
151,Myanmar,144,5,5,0,9,0
152,Namibia,16,0,0,0,7,0
153,Nauru,0,0,0,0,0,0
154,Nepal,49,1,0,0,11,1
155,Netherlands,36729,808,4304,112,102,1
156,Netherlands Antilles,0,0,0,0,0,0
157,New Caledonia,0,0,0,0,0,0
158,New Zealand,1461,5,18,1,1118,23
159,Nicaragua,11,0,3,0,7,0
160,Niger,681,10,24,0,289,33
161,Nigeria,1095,114,32,1,208,11
162,Niue,0,0,0,0,0,0
163,Norfolk Island,0,0,0,0,0,0
164,Northern Mariana Islands,0,0,0,0,0,0
165,Norway,7463,62,199,5,32,0
166,Oman,1790,74,10,1,325,18
167,Pakistan,11940,785,253,16,2755,228
168,Palau,0,0,0,0,0,0
169,Palestinian Territory,484,4,4,0,92,0
170,Panama,5338,172,154,8,319,48
171,Papua New Guinea,8,0,0,0,0,0
172,Paraguay,223,10,9,0,78,11
173,Peru,21648,734,634,62,7496,74
174,Philippines,7192,211,477,15,762,40
175,Pitcairn,0,0,0,0,0,0
176,Poland,10892,381,494,40,1944,204
177,Portugal,22797,444,854,34,1228,27
178,Puerto Rico,0,0,0,0,0,0
179,Qatar,8525,761,10,0,809,59
180,Republic of Kosovo,510,0,12,0,93,0
181,Romania,10417,321,567,22,2817,339
182,Russian Federation,68622,5849,615,60,5568,677
183,Rwanda,176,22,0,0,87,0
184,Réunion,0,0,0,0,0,0
185,Saint Helena,0,0,0,0,0,0
186,Saint Kitts and Nevis,15,0,0,0,2,1
187,Saint Lucia,15,0,0,0,15,0
188,Saint Pierre and Miquelon,0,0,0,0,0,0
189,Saint Vincent and Grenadines,14,1,0,0,5,2
190,Saint-Barthélemy,0,0,0,0,0,0
191,Saint-Martin (French part),0,0,0,0,0,0
192,Samoa,0,0,0,0,0,0
193,San Marino,513,12,40,0,64,1
194,Sao Tome and Principe,4,0,0,0,0,0
195,Saudi Arabia,15102,1172,127,6,2049,124
