,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,714,49,23,2,40,8
2,Albania,475,8,24,1,248,16
3,Algeria,2070,87,326,13,691,90
4,American Samoa,0,0,0,0,0,0
5,Andorra,659,13,31,2,128,0
6,Angola,19,0,2,0,5,1
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,2,0,3,3
10,Argentina,2277,69,102,5,559,44
11,Armenia,1067,28,16,2,265,54
12,Aruba,0,0,0,0,0,0
13,Australia,6415,64,62,1,2186,380
14,Austria,14226,185,384,16,7633,290
15,Azerbaijan,1197,49,13,1,351,62
16,Bahamas,49,2,8,0,6,0
17,Bahrain,1528,167,7,1,645,54
18,Bangladesh,1012,209,46,7,42,0
19,Barbados,72,0,4,0,13,0
20,Belarus,3281,362,33,4,203,0
21,Belgium,31119,530,4157,254,6868,161
22,Belize,18,0,2,0,0,0
23,Benin,35,0,1,0,18,13
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,354,24,28,1,6,4
27,Bosnia and Herzegovina,1083,46,40,1,236,30
28,Botswana,13,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,25262,1832,1532,204,3046,2873
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,136,0,1,0,107,0
34,Bulgaria,713,28,35,3,81,10
35,Burkina Faso,528,31,30,3,177,16
36,Burundi,5,0,1,0,0,0
37,Cambodia,122,0,0,0,91,14
38,Cameroon,848,28,14,2,130,32
39,Canada,27035,1355,900,120,8210,452
40,Cape Verde,11,1,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,11,0,0,0,4,1
43,Chad,23,0,0,0,2,0
44,Chile,7917,392,92,10,2646,279
45,China,83306,93,3345,0,78200,161
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,2979,127,127,15,354,35
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),60,0,5,0,5,0
51,Congo (Kinshasa),241,6,20,0,20,3
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,618,6,3,0,66,4
54,Croatia,1704,54,31,6,415,15
55,Cuba,766,40,21,0,132,11
56,Cyprus,695,33,12,0,65,0
57,Czech Republic,6111,52,161,18,642,123
58,Côte d'Ivoire,638,12,6,0,114,25
59,Denmark,6706,193,299,14,2689,286
60,Djibouti,363,65,2,0,53,12
61,Dominica,16,0,0,0,8,0
62,Dominican Republic,3286,119,183,6,162,10
63,Ecuador,7603,74,369,14,696,99
64,Egypt,2350,160,178,14,589,0
65,El Salvador,149,12,6,0,25,3
66,Equatorial Guinea,41,20,0,0,4,0
67,Eritrea,34,0,0,0,0,0
68,Estonia,1373,41,31,3,115,13
69,Ethiopia,82,8,3,0,14,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,16,0,0,0,0,0
73,Finland,3161,97,64,5,300,0
74,French Guiana,0,0,0,0,0,0
75,French Polynesia,0,0,0,0,0,0
76,French Southern Territories,0,0,0,0,0,0
77,Gabon,57,0,1,0,1,0
78,Gambia,9,0,1,0,2,0
79,Georgia,300,28,3,0,69,1
80,Germany,131359,1287,3294,100,68200,3900
81,Ghana,636,70,8,0,17,13
82,Gibraltar,0,0,0,0,0,0
83,Greece,2170,25,101,2,269,0
84,Greenland,0,0,0,0,0,0
85,Grenada,14,0,0,0,0,0
86,Guadeloupe,0,0,0,0,0,0
87,Guam,0,0,0,0,0,0
88,Guatemala,167,11,5,0,19,0
89,Guernsey,0,0,0,0,0,0
90,Guinea,363,44,0,0,31,14
91,Guinea-Bissau,38,0,0,0,0,0
92,Guyana,47,2,6,0,8,0
93,Haiti,40,0,3,0,0,0
94,Heard and Mcdonald Islands,0,0,0,0,0,0
95,Holy See (Vatican City State),8,0,0,0,2,0
96,Honduras,407,10,26,1,7,0
97,"Hong Kong, SAR China",0,0,0,0,0,0
98,Hungary,1512,54,122,13,122,2
99,Iceland,1720,9,8,0,989,56
100,India,11487,1034,393,35,1359,178
101,Indonesia,4839,282,459,60,426,46
102,"Iran, Islamic Republic of",74877,1574,4683,98,48129,2146
103,Iraq,1400,22,78,0,766,49
104,Ireland,11479,832,406,41,25,0
105,Isle of Man,0,0,0,0,0,0
106,Israel,12046,460,123,7,2195,340
107,Italy,162488,2972,21067,602,37130,1695
108,Jamaica,73,0,4,0,19,0
109,Japan,7645,275,143,20,799,15
110,Jersey,0,0,0,0,0,0
111,Jordan,397,6,7,0,235,20
112,Kazakhstan,1232,141,14,2,203,65
113,Kenya,216,8,9,0,41,1
114,Kiribati,0,0,0,0,0,0
115,Korea (North),0,0,0,0,0,0
116,Korea (South),10564,27,222,5,7534,87
117,Kuwait,1355,55,3,1,176,26
118,Kyrgyzstan,430,11,5,0,71,4
119,Lao PDR,19,0,0,0,1,1
120,Latvia,657,2,5,0,16,0
121,Lebanon,641,9,21,1,80,0
122,Lesotho,0,0,0,0,0,0
123,Liberia,59,0,6,0,4,0
124,Libya,35,9,1,0,9,0
125,Liechtenstein,79,0,1,0,55,0
126,Lithuania,1070,8,29,5,101,0
127,"Macao, SAR China",0,0,0,0,0,0
128,"Macedonia, Republic of",908,54,44,6,86,42
129,Madagascar,108,2,0,0,23,2
130,Malawi,16,0,2,0,0,0
131,Malaysia,4987,170,82,5,2478,202
132,Maldives,20,0,0,0,16,2
133,Mali,144,21,13,3,34,8
134,Malta,393,9,3,0,44,0
135,Marshall Islands,0,0,0,0,0,0
136,Martinique,0,0,0,0,0,0
137,Mauritania,7,0,1,0,2,0
138,Mauritius,324,0,9,0,51,9
139,Mayotte,0,0,0,0,0,0
140,Mexico,5014,353,332,36,1964,121
141,"Micronesia, Federated States of",0,0,0,0,0,0
142,Moldova,1934,222,40,5,134,27
143,Monaco,93,0,1,0,6,0
144,Mongolia,30,13,0,0,5,1
145,Montenegro,283,9,4,1,46,41
146,Montserrat,0,0,0,0,0,0
147,Morocco,1888,125,126,0,217,14
148,Mozambique,28,7,0,0,2,0
149,Myanmar,63,1,4,0,2,0
150,Namibia,16,0,0,0,3,0
151,Nauru,0,0,0,0,0,0
152,Nepal,16,2,0,0,1,0
153,Netherlands,27580,870,2955,122,297,2
154,Netherlands Antilles,0,0,0,0,0,0
155,New Caledonia,0,0,0,0,0,0
156,New Zealand,1366,17,9,4,628,82
157,Nicaragua,9,0,1,0,4,0
158,Niger,570,41,14,2,90,15
159,Nigeria,373,30,11,1,99,8
160,Niue,0,0,0,0,0,0
161,Norfolk Island,0,0,0,0,0,0
162,Northern Mariana Islands,0,0,0,0,0,0
163,Norway,6623,20,139,5,32,0
164,Oman,813,86,4,0,130,6
165,Pakistan,5837,341,96,3,1378,283
