,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,1828,125,58,1,228,8
2,Albania,750,14,30,2,431,9
3,Algeria,3649,132,437,5,1651,93
4,American Samoa,0,0,0,0,0,0
5,Andorra,743,0,41,1,398,13
6,Angola,27,0,2,0,6,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,24,0,3,0,11,0
10,Argentina,4127,124,207,10,1162,22
11,Armenia,1867,59,30,1,866,18
12,Aruba,0,0,0,0,0,0
13,Australia,6744,23,89,6,5665,77
14,Austria,15357,83,569,20,12580,218
15,Azerbaijan,1717,39,22,0,1221,59
16,Bahamas,80,0,11,0,23,1
17,Bahrain,2811,88,8,0,1310,92
18,Bangladesh,6462,549,155,3,139,8
19,Barbados,80,0,6,0,39,0
20,Belarus,12208,919,79,4,1993,253
21,Belgium,47334,647,7331,124,10943,65
22,Belize,18,0,2,0,9,3
23,Benin,64,0,1,0,33,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,1
26,Bolivia,1014,0,53,0,98,0
27,Bosnia and Herzegovina,1585,20,63,3,682,23
28,Botswana,23,1,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,73235,5789,5083,480,32544,1402
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,124,0
34,Bulgaria,1399,36,58,0,222,16
35,Burkina Faso,638,3,42,0,476,7
36,Burundi,11,0,1,0,4,0
37,Cambodia,122,0,0,0,119,0
38,Cameroon,1705,0,58,0,915,110
39,Canada,51150,1534,2982,142,19231,963
40,Cape Verde,114,5,1,0,2,1
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,50,31,0,0,10,0
43,Chad,52,6,2,2,19,4
44,Chile,14365,552,207,9,7710,383
45,China,83940,22,4637,0,78422,48
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,5949,352,269,16,1268,58
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),207,7,8,2,19,0
51,Congo (Kinshasa),471,12,30,2,56,6
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,705,8,6,0,306,19
54,Croatia,2047,8,63,4,1232,66
55,Cuba,1437,48,58,2,575,50
56,Cyprus,837,15,15,0,148,0
57,Czech Republic,7504,59,227,4,2948,122
58,Côte d'Ivoire,1183,19,14,0,525,26
59,Denmark,9049,153,434,7,6313,165
60,Djibouti,1072,37,2,0,498,21
61,Dominica,16,0,0,0,13,0
62,Dominican Republic,6416,123,286,4,1165,172
63,Ecuador,24258,1018,871,208,1557,0
64,Egypt,5042,260,359,22,1304,68
65,El Salvador,345,22,8,0,97,8
66,Equatorial Guinea,315,57,1,0,9,0
67,Eritrea,39,0,0,0,19,6
68,Estonia,1660,13,50,0,240,7
69,Ethiopia,126,2,3,0,50,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,0,0,0,12,0
73,Finland,4740,45,199,6,2800,300
74,France,169053,3090,23694,367,47775,1482
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,238,27,3,0,53,10
79,Gambia,10,0,1,0,8,0
80,Georgia,511,14,6,0,168,12
81,Germany,159912,1154,6314,188,117400,2900
82,Ghana,1671,121,16,5,188,33
83,Gibraltar,0,0,0,0,0,0
84,Greece,2566,32,138,2,577,0
85,Greenland,0,0,0,0,0,0
86,Grenada,19,1,0,0,10,3
87,Guadeloupe,0,0,0,0,0,0
88,Guam,0,0,0,0,0,0
89,Guatemala,530,0,15,0,49,0
90,Guernsey,0,0,0,0,0,0
91,Guinea,1240,77,7,0,269,23
92,Guinea-Bissau,73,0,1,0,18,0
93,Guyana,74,0,8,0,15,0
94,Haiti,76,0,6,0,8,0
95,Heard and Mcdonald Islands,0,0,0,0,0,0
96,Holy See (Vatican City State),10,1,0,0,2,0
97,Honduras,702,41,64,3,79,0
98,"Hong Kong, SAR China",0,0,0,0,0,0
99,Hungary,2649,66,291,11,516,18
100,Iceland,1795,3,10,0,1636,12
101,India,31324,1873,1008,69,7747,610
102,Indonesia,9511,415,773,8,1254,103
103,"Iran, Islamic Republic of",92584,1112,5877,71,72439,1506
104,Iraq,1928,81,90,2,1319,33
105,Ireland,19877,229,1159,57,9233,0
106,Isle of Man,0,0,0,0,0,0
107,Israel,15728,173,210,6,7746,546
108,Italy,201505,2091,27359,382,68941,2317
109,Jamaica,364,0,7,0,29,0
110,Jersey,0,0,0,0,0,0
111,Jordan,449,0,8,1,348,6
112,Kazakhstan,3027,192,25,0,774,54
113,Kenya,374,11,14,0,124,10
114,Kiribati,0,0,0,0,0,0
115,Korea (North),0,0,0,0,0,0
116,Korea (South),10761,9,246,2,8922,68
117,Kuwait,3440,152,23,1,1176,164
118,Kyrgyzstan,708,13,8,0,416,21
119,Lao PDR,19,0,0,0,7,0
120,Latvia,836,18,13,0,267,0
121,Lebanon,717,7,24,0,145,0
122,Lesotho,0,0,0,0,0,0
123,Liberia,141,17,16,4,45,20
124,Libya,61,0,2,0,18,0
125,Liechtenstein,82,0,1,0,55,0
126,Luxembourg,3741,12,89,1,3123,0
127,"Macao, SAR China",0,0,0,0,0,0
128,"Macedonia, Republic of",1421,22,71,6,589,36
129,Madagascar,128,0,0,0,82,7
130,Malawi,36,0,3,0,5,1
131,Malaysia,5851,31,100,1,4032,75
132,Maldives,250,24,0,0,17,0
133,Mali,424,16,24,1,122,9
134,Malta,458,8,4,0,303,17
135,Marshall Islands,0,0,0,0,0,0
136,Martinique,0,0,0,0,0,0
137,Mauritania,7,0,1,0,6,0
138,Mauritius,334,0,10,0,303,1
