,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,484,40,15,1,32,3
2,Albania,409,9,23,1,165,11
3,Algeria,1666,94,235,30,347,110
4,American Samoa,0,0,0,0,0,0
5,Andorra,583,19,25,2,58,6
6,Angola,19,0,2,0,2,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,19,0,2,0,0,0
10,Argentina,1795,80,72,9,365,7
11,Armenia,921,40,10,1,138,24
12,Aruba,0,0,0,0,0,0
13,Australia,6108,98,51,1,1472,392
14,Austria,13244,302,295,22,5240,728
15,Azerbaijan,926,104,9,1,101,38
16,Bahamas,41,1,8,1,5,0
17,Bahrain,887,64,5,0,519,42
18,Bangladesh,330,112,21,1,33,0
19,Barbados,66,3,3,0,11,3
20,Belarus,1486,420,16,3,139,62
21,Belgium,24983,1580,2523,283,5164,483
22,Belize,9,1,1,0,0,0
23,Benin,26,0,1,0,5,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,264,54,18,3,2,0
27,Bosnia and Herzegovina,858,54,35,1,101,22
28,Botswana,13,7,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,18092,1922,950,131,173,46
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,135,0,1,0,92,1
34,Bulgaria,618,25,24,0,48,6
35,Burkina Faso,443,29,24,1,146,12
36,Burundi,3,0,0,0,0,0
37,Cameroon,730,0,10,0,60,0
38,Canada,20654,1513,502,96,5162,1008
39,Cape Verde,7,0,1,0,1,0
40,Cayman Islands,0,0,0,0,0,0
41,Central African Republic,8,0,0,0,0,0
42,Chad,11,1,0,0,2,0
43,Chile,5972,426,57,9,1274,159
44,China,82883,74,3339,2,77679,112
45,Christmas Island,0,0,0,0,0,0
46,Cocos (Keeling) Islands,0,0,0,0,0,0
47,Colombia,2223,169,69,15,174,51
48,Comoros,0,0,0,0,0,0
49,Congo (Brazzaville),60,15,5,0,5,3
50,Congo (Kinshasa),180,0,18,0,9,0
51,Cook Islands,0,0,0,0,0,0
52,Costa Rica,539,37,3,0,30,1
53,Croatia,1407,64,20,1,219,40
54,Cuba,515,58,15,3,28,1
55,Cyprus,564,38,10,1,53,1
56,Czech Republic,5569,257,112,13,301,68
57,Côte d'Ivoire,444,60,3,0,52,4
58,Denmark,5830,233,237,19,1883,120
59,Djibouti,135,0,0,0,25,0
60,Dominica,15,0,0,0,1,0
61,Dominican Republic,2349,238,118,10,80,30
62,Ecuador,4965,515,272,30,339,199
63,Egypt,1699,139,118,15,348,43
64,El Salvador,103,10,6,1,14,5
65,Equatorial Guinea,18,0,0,0,3,0
66,Eritrea,33,0,0,0,0,0
67,Estonia,1207,22,24,0,83,11
68,Ethiopia,56,1,2,0,4,0
69,Falkland Islands (Malvinas),0,0,0,0,0,0
70,Faroe Islands,0,0,0,0,0,0
71,Fiji,15,0,0,0,0,0
72,Finland,2605,118,42,2,300,0
73,France,118781,4822,12228,1341,23413,1961
74,French Guiana,0,0,0,0,0,0
75,French Polynesia,0,0,0,0,0,0
76,French Southern Territories,0,0,0,0,0,0
77,Gabon,44,10,1,0,1,0
78,Gambia,4,0,1,0,2,0
79,Georgia,218,7,3,0,51,1
80,Germany,118181,4885,2607,258,52407,6107
81,Gibraltar,0,0,0,0,0,0
82,Greece,1955,71,87,4,269,0
83,Greenland,0,0,0,0,0,0
84,Grenada,12,0,0,0,0,0
85,Guadeloupe,0,0,0,0,0,0
86,Guam,0,0,0,0,0,0
87,Guatemala,95,8,3,0,17,0
88,Guernsey,0,0,0,0,0,0
89,Guinea,194,30,0,0,11,6
90,Guinea-Bissau,36,3,0,0,0,0
91,Guyana,37,0,6,0,8,0
92,Haiti,30,3,2,1,0,0
93,Heard and Mcdonald Islands,0,0,0,0,0,0
94,Holy See (Vatican City State),8,0,0,0,2,0
95,Honduras,343,31,23,1,6,0
96,"Hong Kong, SAR China",0,0,0,0,0,0
97,Hungary,980,85,66,8,96,2
98,Iceland,1648,32,6,0,688,55
99,India,6725,809,226,48,620,114
100,Indonesia,3293,337,280,40,252,30
101,"Iran, Islamic Republic of",66220,1634,4110,117,32309,2497
102,Iraq,1232,30,69,0,496,44
103,Ireland,6574,500,263,28,25,0
104,Isle of Man,0,0,0,0,0,0
105,Israel,9968,564,86,13,1011,210
106,Italy,143626,4204,18279,610,28470,1979
107,Jamaica,63,0,4,0,12,2
108,Japan,4667,410,94,1,632,10
109,Jersey,0,0,0,0,0,0
110,Jordan,372,14,7,1,161,11
111,Kazakhstan,781,54,8,1,60,6
112,Kenya,184,5,7,1,12,3
113,Kiribati,0,0,0,0,0,0
114,Korea (North),0,0,0,0,0,0
115,Korea (South),10423,39,204,4,6973,197
116,Kuwait,910,55,1,0,111,0
117,Kyrgyzstan,280,10,4,0,35,2
118,Lao PDR,16,1,0,0,0,0
119,Latvia,589,12,3,1,16,0
120,Lebanon,582,6,19,0,67,5
121,Lesotho,0,0,0,0,0,0
122,Liberia,31,0,4,0,3,0
123,Libya,24,3,1,0,8,0
124,Liechtenstein,78,0,1,0,55,0
125,Lithuania,955,43,16,1,8,0
126,Luxembourg,3115,81,52,6,500,0
127,"Macao, SAR China",0,0,0,0,0,0
128,"Macedonia, Republic of",663,46,30,1,37,2
129,Madagascar,93,0,0,0,11,0
130,Malawi,8,0,1,0,0,0
131,Malaysia,4228,109,67,2,1608,121
132,Maldives,19,0,0,0,13,0
133,Mali,74,15,7,0,22,6
134,Malta,337,38,2,1,16,0
135,Marshall Islands,0,0,0,0,0,0
136,Martinique,0,0,0,0,0,0
137,Mauritania,7,1,1,0,2,0
138,Mauritius,314,41,7,0,23,4
139,Mayotte,0,0,0,0,0,0
140,Mexico,3181,396,174,33,633,0
141,"Micronesia, Federated States of",0,0,0,0,0,0
142,Moldova,1289,115,29,2,50,10
143,Monaco,84,3,1,0,5,1
144,Mongolia,16,0,0,0,4,0
145,Montenegro,252,4,2,0,4,0
146,Montserrat,0,0,0,0,0,0
147,Morocco,1374,99,97,4,109,12
148,Mozambique,17,0,0,0,1,0
149,Myanmar,23,1,3,0,2,2
150,Namibia,16,0,0,0,3,0
151,Nauru,0,0,0,0,0,0
152,Nepal,9,0,0,0,1,0
153,Netherlands,21903,1221,2403,148,278,6
154,Netherlands Antilles,0,0,0,0,0,0
155,New Caledonia,0,0,0,0,0,0
156,New Zealand,1239,29,1,0,317,35
157,Nicaragua,7,1,1,0,0,0
158,Niger,410,68,11,0,40,12
159,Nigeria,288,12,7,1,51,7
160,Niue,0,0,0,0,0,0
161,Norfolk Island,0,0,0,0,0,0
162,Northern Mariana Islands,0,0,0,0,0,0
163,Norway,6211,125,108,7,32,0
164,Oman,457,38,3,1,109,37
165,Pakistan,4489,226,65,4,572,105
166,Palau,0,0,0,0,0,0
167,Palestinian Territory,263,0,1,0,44,0
168,Panama,2528,279,63,4,16,0
169,Papua New Guinea,2,0,0,0,0,0
170,Paraguay,124,5,5,0,18,3
171,Peru,5256,914,138,17,1438,105
172,Philippines,4076,206,203,21,124,28
173,Pitcairn,0,0,0,0,0,0
174,Poland,5575,370,174,15,284,62
175,Portugal,13956,815,409,29,205,9
176,Puerto Rico,0,0,0,0,0,0
177,Qatar,2376,166,6,0,206,28
178,Republic of Kosovo,184,0,5,0,30,0
179,Romania,5202,441,248,28,647,119
180,Russian Federation,10131,1459,76,13,698,118
181,Rwanda,110,0,0,0,7,0
182,Réunion,0,0,0,0,0,0
183,Saint Helena,0,0,0,0,0,0
184,Saint Kitts and Nevis,11,0,0,0,0,0
185,Saint Lucia,14,0,0,0,1,0
186,Saint Pierre and Miquelon,0,0,0,0,0,0
187,Saint Vincent and Grenadines,12,4,0,0,1,0
188,Saint-Barthélemy,0,0,0,0,0,0
189,Saint-Martin (French part),0,0,0,0,0,0
190,Samoa,0,0,0,0,0,0
191,San Marino,333,54,34,0,49,9
192,Sao Tome and Principe,4,0,0,0,0,0
193,Saudi Arabia,3287,355,44,3,666,35
194,Senegal,250,6,2,0,123,10
195,Serbia,2867,201,66,1,0,0
196,Seychelles,11,0,0,0,0,0
197,Sierra Leone,7,0,0,0,0,0
198,Singapore,1910,287,6,0,460,54
199,Slovakia,701,19,2,0,23,7
200,Slovenia,1124,33,43,3,128,8
201,Solomon Islands,0,0,0,0,0,0
202,Somalia,12,0,1,0,1,0
203,South Africa,1934,89,18,0,95,0
204,South Georgia and the South Sandwich Islands,0,0,0,0,0,0
205,South Sudan,0,0,0,0,0,0
206,Spain,153222,5002,15447,655,52165,4144
207,Sri Lanka,190,1,7,0,49,5
208,Sudan,15,1,2,0,2,0
209,Suriname,10,0,1,0,4,1
210,Svalbard and Jan Mayen Islands,0,0,0,0,0,0
211,Swaziland,12,0,0,0,7,0
212,Sweden,9141,722,793,106,205,0
213,Switzerland,24051,771,948,53,10600,800
214,Syrian Arab Republic (Syria),19,0,2,0,4,0
215,"Taiwan, Republic of China",380,1,5,0,67,6
216,Tajikistan,0,0,0,0,0,0
217,"Tanzania, United Republic of",25,0,1,0,5,0
218,Thailand,2423,54,32,2,940,52
219,Timor-Leste,1,0,0,0,0,0
220,Togo,73,3,3,0,24,1
221,Tokelau,0,0,0,0,0,0
222,Tonga,0,0,0,0,0,0
223,Trinidad and Tobago,109,2,8,0,1,0
224,Tunisia,643,15,25,1,25,0
225,Turkey,42282,4056,908,96,2142,296
226,Turkmenistan,0,0,0,0,0,0
227,Turks and Caicos Islands,0,0,0,0,0,0
228,Tuvalu,0,0,0,0,0,0
229,US Minor Outlying Islands,0,0,0,0,0,0
230,Uganda,53,0,0,0,0,0
231,Ukraine,1892,224,57,5,45,10
232,United Arab Emirates,2990,331,14,2,268,29
233,United Kingdom,65872,4398,7993,882,359,14
234,United States of America,461432,32385,16477,1783,25410,1851
235,Uruguay,456,32,7,0,192,42
236,Uzbekistan,582,37,3,0,38,8
237,Vanuatu,0,0,0,0,0,0
238,Venezuela (Bolivarian Republic),171,4,9,0,84,19
239,Viet Nam,255,4,0,0,128,2
240,"Virgin Islands, US",0,0,0,0,0,0
241,Wallis and Futuna Islands,0,0,0,0,0,0
242,Western Sahara,4,0,0,0,0,0
243,Yemen,0,0,0,0,0,0
244,Zambia,39,0,1,0,24,17
245,Zimbabwe,11,0,3,0,0,0
