,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,1026,30,36,3,135,4
2,Albania,584,22,26,0,327,13
3,Algeria,2718,89,384,9,1099,52
4,American Samoa,0,0,0,0,0,0
5,Andorra,717,4,37,1,248,13
6,Angola,24,0,2,0,6,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,3,0,3,0
10,Argentina,2941,102,136,4,737,28
11,Armenia,1339,48,22,2,580,35
12,Aruba,0,0,0,0,0,0
13,Australia,6547,0,67,0,4124,0
14,Austria,14795,46,470,18,10631,130
15,Azerbaijan,1436,38,19,0,791,79
16,Bahamas,60,5,9,0,11,1
17,Bahrain,1907,26,7,0,769,10
18,Bangladesh,2948,492,101,10,85,10
19,Barbados,75,0,5,0,19,2
20,Belarus,6264,1485,51,4,514,20
21,Belgium,39983,1487,5828,145,8895,138
22,Belize,18,0,2,0,2,0
23,Benin,54,19,1,0,27,9
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,564,44,33,1,31,0
27,Bosnia and Herzegovina,1309,24,49,1,381,34
28,Botswana,20,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,40743,2089,2587,125,22130,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,116,1
34,Bulgaria,929,35,43,1,167,6
35,Burkina Faso,581,5,38,2,357,19
36,Burundi,5,0,1,0,4,4
37,Cambodia,122,0,0,0,107,2
38,Cameroon,1163,146,42,0,305,0
39,Canada,37658,2025,1726,162,12543,696
40,Cape Verde,67,6,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,12,0,0,0,4,0
43,Chad,33,0,0,0,8,0
44,Chile,10507,419,139,6,4676,338
45,China,83817,12,4636,0,77745,55
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,3977,185,189,10,804,93
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),160,17,6,0,16,5
51,Congo (Kinshasa),332,5,25,0,27,1
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,662,2,6,1,124,12
54,Croatia,1881,10,47,0,771,62
55,Cuba,1087,52,36,2,285,30
56,Cyprus,772,5,12,0,81,0
57,Czech Republic,6900,154,194,8,1559,261
58,Côte d'Ivoire,847,0,9,0,260,0
59,Denmark,7711,131,364,9,4499,171
60,Djibouti,846,0,2,0,102,0
61,Dominica,16,0,0,0,8,0
62,Dominican Republic,4964,284,235,9,416,53
63,Ecuador,10128,660,507,33,1150,89
64,Egypt,3333,189,250,11,821,89
65,El Salvador,218,17,7,0,46,2
66,Equatorial Guinea,79,0,0,0,7,3
67,Eritrea,39,0,0,0,3,0
68,Estonia,1535,7,40,0,165,1
69,Ethiopia,111,3,3,0,16,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,1,0,0,3,3
73,Finland,3868,85,98,4,2000,300
74,France,156480,2383,20292,548,38036,853
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,120,11,1,0,7,0
79,Gambia,10,0,1,0,2,0
80,Georgia,402,8,4,0,95,2
81,Germany,147065,1881,4862,276,91500,3500
