,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,784,70,25,2,43,3
2,Albania,494,19,25,1,251,3
3,Algeria,2160,90,336,10,708,17
4,American Samoa,0,0,0,0,0,0
5,Andorra,673,14,33,2,169,41
6,Angola,19,0,2,0,5,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,2,0,3,0
10,Argentina,2443,166,111,9,596,37
11,Armenia,1111,44,17,1,297,32
12,Aruba,0,0,0,0,0,0
13,Australia,6440,25,63,1,2186,0
14,Austria,14336,110,393,9,8098,465
15,Azerbaijan,1253,56,13,0,404,53
16,Bahamas,49,0,8,0,6,0
17,Bahrain,1671,143,7,0,663,18
18,Bangladesh,1231,219,50,4,49,7
19,Barbados,73,1,5,1,15,2
20,Belarus,3728,447,36,3,203,0
21,Belgium,33573,2454,4440,283,7107,239
22,Belize,18,0,2,0,0,0
23,Benin,35,0,1,0,18,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,397,43,28,0,7,1
27,Bosnia and Herzegovina,1110,27,41,1,253,17
28,Botswana,13,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,28320,3058,1736,204,14026,10980
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,136,0,1,0,108,1
34,Bulgaria,747,34,36,1,105,24
35,Burkina Faso,542,14,32,2,226,49
36,Burundi,5,0,1,0,0,0
37,Cambodia,122,0,0,0,96,5
38,Cameroon,848,0,17,3,165,35
39,Canada,28209,1174,1007,107,8966,756
40,Cape Verde,56,45,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,12,1,0,0,4,0
43,Chad,23,0,0,0,2,0
44,Chile,8273,356,94,2,2937,291
45,China,83356,50,3346,1,78311,111
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,3105,126,131,4,452,98
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),117,57,5,0,11,6
51,Congo (Kinshasa),254,13,21,1,21,1
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,626,8,4,1,67,1
54,Croatia,1741,37,33,2,473,58
55,Cuba,814,48,24,3,151,19
56,Cyprus,715,20,12,0,65,0
57,Czech Republic,6216,105,166,5,819,177
58,Côte d'Ivoire,638,0,6,0,114,0
59,Denmark,6876,170,309,10,2925,236
60,Djibouti,435,72,2,0,71,18
