,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,,0,0,0,0,0,0
1, Azerbaijan,0,0,0,0,0,0
2,Afghanistan,94,10,4,2,2,0
3,Albania,174,28,6,1,17,0
4,Algeria,367,65,25,4,29,-36
5,Andorra,224,36,3,2,1,0
6,Angola,4,1,0,0,0,0
7,Antigua and Barbuda,7,4,0,0,0,0
8,Argentina,502,115,9,1,63,11
9,Armenia,290,25,1,1,18,2
10,Aruba,4,0,0,0,0,0
11,Australia,2810,446,13,5,172,53
12,Austria,6909,1321,49,19,112,103
13,Azerbaijan,122,29,3,1,15,5
14,Bahamas,9,4,0,0,1,0
15,"Bahamas, The",4,0,0,0,0,0
16,Bahrain,458,39,4,0,204,27
17,Bangladesh,44,5,5,0,11,4
18,Barbados,18,0,0,0,0,0
19,Belarus,86,0,0,0,29,0
20,Belgium,6235,1298,220,42,675,128
21,Belize,2,0,0,0,0,0
22,Benin,6,0,0,0,0,0
23,Bhutan,2,0,0,0,0,0
24,Bolivia,43,11,0,0,0,0
25,Bosnia and Herzegovina,191,15,3,0,2,0
26,Brazil,2985,431,77,18,6,4
27,Brunei,114,5,0,0,5,3
28,Bulgaria,264,22,3,0,8,4
29,Burkina Faso,152,6,7,3,10,0
30,Cabo Verde,4,0,1,0,0,0
31,Cambodia,96,0,0,0,10,0
32,Cameroon,75,0,1,0,2,0
33,Canada,4042,791,38,8,184,1
34,Cape Verde,0,0,0,0,0,0
35,Cayman Islands,1,0,0,0,0,0
36,Central African Republic,3,0,0,0,0,0
37,Chad,3,0,0,0,0,0
38,Channel Islands,0,0,0,0,0,0
39,Chile,1306,164,4,1,22,0
40,China,81782,121,3291,6,74181,408
41,Colombia,491,21,6,2,8,0
42,Congo (Brazzaville),4,0,0,0,0,0
43,Congo (Kinshasa),51,3,3,1,0,0
44,Costa Rica,231,30,2,0,2,0
45,Cote d'Ivoire,96,16,0,0,3,0
46,Croatia,495,53,3,2,22,0
47,Cruise Ship,712,0,8,0,567,242
48,Cuba,67,10,2,1,1,0
49,Curacao,0,0,0,0,0,0
50,Cyprus,146,14,3,0,4,1
51,Czechia,1925,271,9,3,10,0
52,Denmark,2023,161,41,7,50,9
53,Diamond Princess,0,0,0,0,0,0
54,Djibouti,11,0,0,0,0,0
55,Dominica,11,4,0,0,0,0
56,Dominican Republic,488,96,10,0,3,0
57,East Timor,0,0,0,0,0,0
58,Ecuador,1403,230,34,6,3,0
59,Egypt,495,39,24,3,102,7
60,El Salvador,13,4,0,0,0,0
61,Equatorial Guinea,12,3,0,0,0,0
62,Eritrea,6,2,0,0,0,0
63,Estonia,538,134,1,0,8,0
64,Eswatini,6,2,0,0,0,0
65,Ethiopia,12,0,0,0,0,0
66,Faroe Islands,2,0,0,0,0,0
67,Fiji,5,0,0,0,0,0
68,Finland,958,78,5,2,10,0
69,France,29551,3951,1698,365,4955,1048
70,French Guiana,18,0,0,0,6,0
71,Gabon,7,1,1,0,0,0
