,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,,0,0,0,0,0,0
1, Azerbaijan,0,0,0,0,0,0
2,Afghanistan,170,50,4,0,2,0
3,Albania,223,11,11,1,44,11
4,Algeria,584,73,35,4,37,6
5,Andorra,370,36,8,2,10,9
6,Angola,7,0,2,0,0,0
7,Antigua and Barbuda,7,0,0,0,0,0
8,Argentina,820,75,23,4,228,156
9,Armenia,482,58,3,0,30,0
10,Aruba,4,0,0,0,0,0
11,Australia,4361,377,17,1,257,13
12,Austria,9618,830,108,22,636,157
13,Azerbaijan,273,64,4,0,26,11
14,Bahamas,14,3,0,0,1,0
15,"Bahamas, The",4,0,0,0,0,0
16,Bahrain,515,16,4,0,279,7
17,Bangladesh,49,1,5,0,19,4
18,Barbados,33,0,0,0,0,0
19,Belarus,152,58,0,0,32,0
20,Belgium,11899,1063,513,82,1527,168
21,Belize,3,1,0,0,0,0
22,Benin,6,0,0,0,0,0
23,Bhutan,4,0,0,0,0,0
24,Bolivia,97,16,4,3,0,0
25,Bosnia and Herzegovina,368,45,10,4,17,9
26,Botswana,0,0,0,0,0,0
27,Brazil,4579,323,159,23,120,114
28,Brunei,127,1,1,0,38,4
29,Bulgaria,359,13,8,0,17,3
30,Burkina Faso,246,24,12,0,31,8
31,Burma,14,4,0,0,0,0
32,Cabo Verde,6,0,1,0,0,0
33,Cambodia,107,4,0,0,21,0
34,Cameroon,139,0,6,0,5,0
35,Canada,7398,1118,80,16,466,0
36,Cape Verde,0,0,0,0,0,0
37,Cayman Islands,1,0,0,0,0,0
38,Central African Republic,3,0,0,0,0,0
39,Chad,5,2,0,0,0,0
40,Channel Islands,0,0,0,0,0,0
41,Chile,2449,310,8,1,156,81
42,China,82198,76,3308,4,75923,341
43,Colombia,798,96,12,2,15,5
44,Congo (Brazzaville),19,0,0,0,0,0
45,Congo (Kinshasa),81,16,8,2,2,0
46,Costa Rica,330,16,2,0,4,1
47,Cote d'Ivoire,168,3,1,0,6,2
48,Croatia,790,77,6,0,67,15
49,Cruise Ship,712,0,8,0,567,242
50,Cuba,170,31,4,1,4,0
51,Curacao,0,0,0,0,0,0
52,Cyprus,230,16,7,2,22,7
53,Czechia,3001,184,23,7,25,14
54,Denmark,2755,191,77,5,73,0
55,Diamond Princess,712,0,10,0,603,0
56,Djibouti,18,0,0,0,0,0
57,Dominica,11,0,0,0,0,0
58,Dominican Republic,901,42,42,3,4,1
59,East Timor,0,0,0,0,0,0
60,Ecuador,1962,38,60,2,3,0
61,Egypt,656,47,41,1,150,18
62,El Salvador,30,6,0,0,0,0
63,Equatorial Guinea,12,0,0,0,0,0
64,Eritrea,12,0,0,0,0,0
65,Estonia,715,36,3,0,20,0
66,Eswatini,9,0,0,0,0,0
67,Ethiopia,23,2,0,0,4,3
68,Faroe Islands,2,0,0,0,0,0
69,Fiji,5,0,0,0,0,0
70,Finland,1352,112,13,2,10,0
71,France,45170,4462,3030,419,7964,738
