,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,,0,0,0,0,0,0
1, Azerbaijan,0,0,0,0,0,0
2,Afghanistan,273,36,6,2,10,5
3,Albania,277,18,16,1,76,9
4,Algeria,986,139,86,28,61,0
5,Andorra,428,38,15,1,10,0
6,Angola,8,0,2,0,1,0
7,Antigua and Barbuda,9,2,0,0,0,0
8,Argentina,1133,0,36,4,256,8
9,Armenia,663,92,7,3,33,2
10,Aruba,4,0,0,0,0,0
11,Australia,5116,254,24,4,520,98
12,Austria,11129,418,158,12,1749,313
13,Azerbaijan,400,41,5,0,26,0
14,Bahamas,24,3,1,0,1,0
15,"Bahamas, The",4,0,0,0,0,0
16,Bahrain,643,74,4,0,381,44
17,Bangladesh,56,2,6,0,25,0
18,Barbados,46,1,0,0,0,0
19,Belarus,304,141,4,2,53,0
20,Belgium,15348,1384,1011,183,2495,363
21,Belize,3,0,0,0,0,0
22,Benin,13,0,0,0,1,0
23,Bhutan,5,1,0,0,1,1
24,Bolivia,123,8,8,1,1,0
25,Bosnia and Herzegovina,533,74,16,3,20,1
26,Botswana,4,0,1,0,0,0
27,Brazil,8044,1113,324,80,127,0
28,Brunei,133,2,1,0,56,4
29,Bulgaria,457,35,10,0,25,5
30,Burkina Faso,288,6,16,0,50,4
31,Burma,20,4,1,0,0,0
32,Burundi,3,1,0,0,0,0
33,Cabo Verde,6,0,1,0,0,0
34,Cambodia,110,1,0,0,34,9
35,Cameroon,306,73,7,1,10,0
36,Canada,11284,1553,139,28,1735,300
37,Cape Verde,0,0,0,0,0,0
38,Cayman Islands,1,0,0,0,0,0
39,Central African Republic,3,0,0,0,0,0
40,Chad,8,1,0,0,0,0
41,Channel Islands,0,0,0,0,0,0
42,Chile,3404,373,18,2,335,101
43,China,82432,51,3322,6,76565,156
44,Colombia,1161,96,19,2,55,16
45,Congo (Brazzaville),22,0,2,0,2,2
46,Congo (Kinshasa),134,25,13,4,3,0
47,Costa Rica,396,21,2,0,6,2
48,Cote d'Ivoire,194,4,1,0,15,6
49,Croatia,1011,48,7,1,88,15
50,Cruise Ship,712,0,8,0,567,242
51,Cuba,233,21,6,0,13,1
52,Curacao,0,0,0,0,0,0
53,Cyprus,356,36,10,1,28,0
54,Czechia,3858,269,44,5,67,6
55,Denmark,3573,283,123,19,1172,201
56,Diamond Princess,712,0,11,0,619,16
57,Djibouti,40,7,0,0,0,0
58,Dominica,12,0,0,0,0,0
59,Dominican Republic,1380,96,60,3,16,7
60,East Timor,0,0,0,0,0,0
61,Ecuador,3163,405,120,22,65,7
62,Egypt,865,86,58,6,201,22
63,El Salvador,41,8,2,0,0,0
64,Equatorial Guinea,15,0,0,0,1,0
65,Eritrea,22,7,0,0,0,0
66,Estonia,858,79,11,6,45,12
67,Eswatini,9,0,0,0,0,0
68,Ethiopia,29,0,0,0,3,1
69,Faroe Islands,2,0,0,0,0,0
70,Fiji,7,2,0,0,0,0
71,Finland,1518,72,19,2,300,290
