,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,607,52,18,0,32,0
2,Albania,446,13,23,0,217,20
3,Algeria,1914,89,293,18,591,131
4,American Samoa,0,0,0,0,0,0
5,Andorra,638,37,29,3,128,57
6,Angola,19,0,2,0,4,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,21,0,2,0,0,0
10,Argentina,2142,167,90,7,468,28
11,Armenia,1013,46,13,0,197,24
12,Aruba,0,0,0,0,0,0
13,Australia,6315,12,60,3,1806,0
14,Austria,13945,139,350,13,6987,383
15,Azerbaijan,1098,40,11,0,250,50
16,Bahamas,46,0,8,0,5,0
17,Bahrain,1136,96,6,0,558,3
18,Bangladesh,621,139,34,4,39,3
19,Barbados,71,3,4,0,11,0
20,Belarus,2578,352,26,3,203,31
21,Belgium,29647,1629,3600,254,6463,477
22,Belize,14,1,2,0,0,0
23,Benin,35,0,1,0,5,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,300,25,24,4,2,0
27,Bosnia and Herzegovina,1009,63,39,2,193,54
28,Botswana,13,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,22192,1465,1223,99,173,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,136,0,1,0,106,2
34,Bulgaria,675,14,29,1,68,6
35,Burkina Faso,497,13,27,0,161,6
36,Burundi,5,0,0,0,0,0
37,Cambodia,122,2,0,0,77,2
38,Cameroon,820,0,12,0,98,0
39,Canada,24299,983,713,60,7123,534
40,Cape Verde,8,0,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,8,0,0,0,0,0
43,Chad,18,7,0,0,2,0
44,Chile,7213,286,80,7,2059,195
45,China,83134,120,3343,0,77956,79
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,2776,67,109,9,270,56
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),60,0,5,0,5,0
51,Congo (Kinshasa),234,11,20,0,16,0
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,595,18,3,0,56,7
