,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,1092,66,36,0,150,15
2,Albania,609,25,26,0,345,18
3,Algeria,2811,93,392,8,1152,53
4,American Samoa,0,0,0,0,0,0
5,Andorra,717,0,37,0,282,34
6,Angola,24,0,2,0,6,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,3,0,7,4
10,Argentina,3031,90,147,11,840,103
11,Armenia,1401,62,24,2,609,29
12,Aruba,0,0,0,0,0,0
13,Australia,6547,0,67,0,4124,0
14,Austria,14873,78,491,21,10971,340
15,Azerbaijan,1480,44,20,1,865,74
16,Bahamas,65,5,9,0,12,1
17,Bahrain,1973,66,7,0,784,15
18,Bangladesh,3382,434,110,9,87,2
19,Barbados,75,0,5,0,25,6
20,Belarus,6723,459,55,4,577,63
21,Belgium,40956,973,5998,170,9002,107
22,Belize,18,0,2,0,2,0
23,Benin,54,0,1,0,27,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,6,1,0,0,2,0
26,Bolivia,598,34,34,1,37,6
27,Bosnia and Herzegovina,1342,33,51,2,437,56
28,Botswana,20,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,43079,2336,2741,154,22991,861
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,116,0
34,Bulgaria,975,46,45,2,170,3
35,Burkina Faso,600,19,38,0,362,5
36,Burundi,5,0,1,0,4,0
37,Cambodia,122,0,0,0,110,3
38,Cameroon,1163,0,43,1,329,24
39,Canada,39402,1744,1909,183,13188,645
40,Cape Verde,68,1,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,14,2,0,0,10,6
43,Chad,33,0,0,0,8,0
44,Chile,10832,325,147,8,4969,293
45,China,83853,36,4636,0,77799,54
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,4149,172,196,7,804,0
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),165,5,6,0,16,0
51,Congo (Kinshasa),350,18,25,0,35,8
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,669,7,6,0,150,26
54,Croatia,1908,27,48,1,801,30
55,Cuba,1137,50,38,2,309,24
56,Cyprus,784,12,12,0,98,17
57,Czech Republic,7033,133,201,7,1753,194
58,Côte d'Ivoire,916,69,13,4,303,43
59,Denmark,7891,180,370,6,4889,390
60,Djibouti,945,99,2,0,112,10
61,Dominica,16,0,0,0,8,0
62,Dominican Republic,5044,80,245,10,463,47
63,Ecuador,10398,270,520,13,1207,57
64,Egypt,3490,157,264,14,870,49
65,El Salvador,225,7,7,0,48,2
66,Equatorial Guinea,83,4,0,0,7,0
67,Eritrea,39,0,0,0,6,3
68,Estonia,1552,17,43,3,169,4
69,Ethiopia,114,3,3,0,16,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,0,0,0,3,0
